account_id,product_type,geography,vintage_year,risk_segment,actual_loss,predicted_loss,exposure_k
ACC000000,Mortgage,Midwest,2022,Medium,0.01501,0.01141,134.12
ACC000001,Mortgage,West,2019,Low,0.01003,0.01024,108.17
ACC000002,Credit Card,Midwest,2021,Low,0.02912,0.06268,155.39
ACC000003,Auto,Southeast,2020,Medium,0.02822,0.02107,65.92
ACC000004,Credit Card,Northeast,2022,Medium,0.05939,0.09127,22.79
ACC000005,Mortgage,Midwest,2021,High,0.03303,0.03338,18.39
ACC000006,Commercial,West,2022,Medium,0.01824,0.02075,62.05
ACC000007,Mortgage,Northeast,2022,Low,0.00209,0.001,612.45
ACC000008,Mortgage,Midwest,2019,Medium,0.01311,0.01013,602.15
ACC000009,Commercial,Southeast,2022,Medium,0.0113,0.00572,38.89
ACC000010,Credit Card,Southeast,2023,Low,0.02959,0.05396,122.76
ACC000011,Auto,Midwest,2023,Low,0.01197,0.0153,173.79
ACC000012,Commercial,Northeast,2022,Medium,0.01797,0.01561,62.18
ACC000013,Mortgage,Northeast,2021,Medium,0.01396,0.01131,713.67
ACC000014,Mortgage,Northeast,2021,Low,0.00556,0.00992,370.34
ACC000015,Mortgage,Midwest,2019,Medium,0.01133,0.00995,228.84
ACC000016,Mortgage,West,2022,Low,0.001,0.00485,161.13
ACC000017,Credit Card,Southeast,2019,Low,0.04069,0.06649,22.75
ACC000018,Auto,Midwest,2020,Medium,0.02678,0.02539,756.24
ACC000019,Auto,West,2021,Low,0.01406,0.01043,297.86
ACC000020,Credit Card,West,2021,Low,0.03978,0.07197,242.53
ACC000021,Mortgage,Northeast,2020,Medium,0.00792,0.00709,61.22
ACC000022,Mortgage,West,2022,Low,0.00531,0.00824,67.93
ACC000023,Mortgage,Southeast,2023,High,0.02649,0.0271,268.66
ACC000024,Credit Card,West,2023,High,0.15328,0.17549,557.07
ACC000025,Auto,West,2021,Medium,0.0275,0.02645,1175.92
ACC000026,Commercial,Northeast,2021,Medium,0.02003,0.01389,61.41
ACC000027,Commercial,West,2021,High,0.04,0.04139,122.65
ACC000028,Credit Card,Northeast,2023,Medium,0.06163,0.09385,12.02
ACC000029,Credit Card,Southeast,2023,Medium,0.06124,0.09388,7.74
ACC000030,Auto,Midwest,2019,Low,0.01473,0.01424,278.46
ACC000031,Commercial,Northeast,2022,Medium,0.01672,0.01019,53.31
ACC000032,Auto,Northeast,2019,Low,0.01238,0.01321,13.9
ACC000033,Mortgage,Southeast,2022,Low,0.00435,0.00598,36.76
